T,Z,Y,X,Score,Size,Confidence,Angle
188.0,0.0,256.14591217041016,507.7695827484131,0.9999998807907104,44.0,0.9916481971740723,2.0
188.0,0.0,355.333740234375,79.92129325866699,0.9999814033508301,43.0,0.972409725189209,2.0
188.0,0.0,419.0703830718994,31.599916458129883,0.9999775886535645,43.0,0.9791352152824402,2.0
189.0,0.0,203.46686363220215,39.93646049499512,1.0,40.0,0.9125937223434448,2.0
189.0,0.0,35.36972618103027,504.2466621398926,1.0,42.0,0.9464442729949951,2.0
190.0,0.0,309.1173324584961,52.157447814941406,1.0,40.0,0.9032161235809326,2.0
190.0,0.0,148.0101547241211,284.29082107543945,1.0,42.0,0.9574519991874695,2.0
190.0,0.0,247.57268714904785,387.84348487854004,1.0,43.0,0.9721513986587524,2.0
190.0,0.0,203.6134376525879,360.06360626220703,0.9998631477355957,41.0,0.9257327914237976,2.0
192.0,0.0,248.30474853515625,55.86126136779785,0.9999984502792358,43.0,0.9637320041656494,2.0
192.0,0.0,411.86931228637695,497.1512908935547,0.999968409538269,41.0,0.9255570769309998,2.0
193.0,0.0,411.732629776001,500.9204635620117,1.0,41.0,0.9253295660018921,2.0
195.0,0.0,291.91494941711426,379.8569221496582,1.0,42.0,0.9414398670196533,2.0
195.0,0.0,283.36985206604004,52.4836540222168,1.0,41.0,0.9202167987823486,2.0
195.0,0.0,291.9153347015381,445.2611427307129,0.9999997615814209,41.0,0.9237825870513916,2.0
198.0,0.0,287.34495735168457,56.32176208496094,0.9999998807907104,40.0,0.909152626991272,2.0
199.0,0.0,187.30630493164062,248.0067253112793,0.9999998807907104,43.0,0.9779708385467529,2.0
200.0,0.0,476.860387802124,56.18415451049805,1.0,43.0,0.9675953388214111,2.0
200.0,0.0,199.70521926879883,95.6856803894043,1.0,43.0,0.9621859788894653,2.0
201.0,0.0,496.72156143188477,379.7459888458252,1.0,41.0,0.9365024566650391,2.0
201.0,0.0,83.86564064025879,280.27735900878906,1.0,41.0,0.9201887845993042,2.0
202.0,0.0,255.97842025756836,304.1899871826172,1.0,41.0,0.9341387748718262,2.0
202.0,0.0,164.95685958862305,188.2051010131836,1.0,40.0,0.903750479221344,2.0
202.0,0.0,388.2721290588379,508.993465423584,0.9999815225601196,43.0,0.9787906408309937,2.0
203.0,0.0,255.9100685119629,304.5382194519043,0.9999998807907104,42.0,0.9571224451065063,2.0
204.0,0.0,392.3289489746094,509.05007553100586,1.0,44.0,0.9825475215911865,2.0
204.0,0.0,159.71871185302734,164.4961051940918,1.0,40.0,0.9042932987213135,2.0
204.0,0.0,204.1104850769043,304.4762268066406,1.0,42.0,0.9371004104614258,2.0
205.0,0.0,255.989652633667,372.1258659362793,1.0,41.0,0.9312957525253296,2.0
205.0,0.0,68.10963821411133,275.98834228515625,1.0,42.0,0.9498666524887085,2.0
207.0,0.0,35.30571174621582,44.464927673339844,1.0,41.0,0.9157693386077881,2.0
207.0,0.0,259.52059745788574,436.79742431640625,1.0,44.0,0.9845134615898132,2.0
207.0,0.0,315.70372581481934,72.8009033203125,0.9999697208404541,42.0,0.9564328193664551,2.0
208.0,0.0,183.81354522705078,208.02353286743164,1.0,42.0,0.9484217166900635,2.0
208.0,0.0,267.8483238220215,440.8018226623535,1.0,42.0,0.9562769532203674,2.0
208.0,0.0,36.037818908691406,40.049461364746094,0.9999998807907104,41.0,0.9336299896240234,2.0
208.0,0.0,312.28377532958984,68.18754196166992,0.9999610185623169,43.0,0.960811197757721,2.0
208.0,0.0,208.00468063354492,320.2164726257324,0.9999071359634399,44.0,0.9804970026016235,2.0
209.0,0.0,92.02129745483398,183.8826732635498,1.0,41.0,0.9283660650253296,2.0
209.0,0.0,99.91287803649902,372.0605812072754,0.9999916553497314,43.0,0.9758007526397705,2.0
210.0,0.0,404.5159492492676,32.420074462890625,0.9999384880065918,42.0,0.9574275016784668,2.0
213.0,0.0,208.21893692016602,179.94731903076172,1.0,41.0,0.9341304302215576,2.0
213.0,0.0,163.71660614013672,304.7473907470703,1.0,41.0,0.9297299981117249,2.0
214.0,0.0,355.456729888916,80.02701568603516,1.0,43.0,0.9708413481712341,2.0
214.0,0.0,103.80805206298828,375.9670867919922,1.0,44.0,0.979892373085022,2.0
214.0,0.0,280.033748626709,300.0970764160156,1.0,42.0,0.958552360534668,2.0
214.0,0.0,103.7712287902832,212.32533645629883,0.9999933242797852,44.0,0.9897770881652832,2.0
215.0,0.0,200.0718650817871,96.0712890625,1.0,41.0,0.9360105395317078,2.0
215.0,0.0,296.03589630126953,420.31850814819336,1.0,42.0,0.9539678692817688,2.0
216.0,0.0,160.32294845581055,453.05639266967773,1.0,42.0,0.9540359973907471,2.0
216.0,0.0,407.9922695159912,75.80921936035156,1.0,43.0,0.9630030393600464,2.0
217.0,0.0,96.16786193847656,104.24800872802734,1.0,44.0,0.9908630847930908,2.0
